row_id,index,stageIds,gameId,createdAt,targetNum,repNum,trialNum,numPlayers,text,playerId,target,role,type,countCorrect,speaker,submitted
fTiFG8CRDvrj55fyT,3,"bEwToH889XKBFouuv,WyKx3R69RcRc7RmHM",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,3,0,3,6,	✅ ,QWwsugysdZETSqF5F,/experiment/tangram_F.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
fTiFG8CRDvrj55fyT,3,"bEwToH889XKBFouuv,WyKx3R69RcRc7RmHM",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,3,0,3,6,	✅ ,cy6HigPTSWTac7Xqy,/experiment/tangram_F.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,	✅ ,KmWbAeCwcagamgCTG,/experiment/tangram_B.png,listener,message,3,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,	✅ ,cy6HigPTSWTac7Xqy,/experiment/tangram_B.png,listener,message,3,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,Looks like a mouse with one square ear and one triangle ear,qXfAnzBoZ64SMpq3Q,/experiment/tangram_B.png,speaker,message,3,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,🤔,KmWbAeCwcagamgCTG,/experiment/tangram_B.png,listener,message,3,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,🤔,cy6HigPTSWTac7Xqy,/experiment/tangram_B.png,listener,message,3,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,	✅ ,cy6HigPTSWTac7Xqy,/experiment/tangram_B.png,listener,message,3,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,🤔,tbTZ8oZNvSzj9kCeA,/experiment/tangram_B.png,listener,message,3,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,	✅ ,KmWbAeCwcagamgCTG,/experiment/tangram_B.png,listener,message,3,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,❌,tbTZ8oZNvSzj9kCeA,/experiment/tangram_B.png,listener,message,3,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,	✅ ,KmWbAeCwcagamgCTG,/experiment/tangram_B.png,listener,message,3,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,❌,QWwsugysdZETSqF5F,/experiment/tangram_B.png,listener,message,3,qXfAnzBoZ64SMpq3Q,TRUE
fmh9bXy6C8DNsBmKC,4,"SxkW2NCcRXxhX3v8z,DkjdfFZWY6ybspYdk",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,4,0,4,6,	✅ ,KmWbAeCwcagamgCTG,/experiment/tangram_B.png,listener,message,3,qXfAnzBoZ64SMpq3Q,TRUE
4hd9erEgqWxZn8yNR,5,"TmExgcd8ukon97BnH,fd7hP2ug2x6P2XRT8",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,5,0,5,6,Looks like a chicken with a big mouth,qXfAnzBoZ64SMpq3Q,/experiment/tangram_I.png,speaker,message,2,qXfAnzBoZ64SMpq3Q,TRUE
4hd9erEgqWxZn8yNR,5,"TmExgcd8ukon97BnH,fd7hP2ug2x6P2XRT8",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,5,0,5,6,🤔,cy6HigPTSWTac7Xqy,/experiment/tangram_I.png,listener,message,2,qXfAnzBoZ64SMpq3Q,TRUE
4hd9erEgqWxZn8yNR,5,"TmExgcd8ukon97BnH,fd7hP2ug2x6P2XRT8",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,5,0,5,6,🤔,tbTZ8oZNvSzj9kCeA,/experiment/tangram_I.png,listener,message,2,qXfAnzBoZ64SMpq3Q,TRUE
4hd9erEgqWxZn8yNR,5,"TmExgcd8ukon97BnH,fd7hP2ug2x6P2XRT8",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,5,0,5,6,Small tail big mouth,qXfAnzBoZ64SMpq3Q,/experiment/tangram_I.png,speaker,message,2,qXfAnzBoZ64SMpq3Q,TRUE
4hd9erEgqWxZn8yNR,5,"TmExgcd8ukon97BnH,fd7hP2ug2x6P2XRT8",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,5,0,5,6,🤔,KmWbAeCwcagamgCTG,/experiment/tangram_I.png,listener,message,2,qXfAnzBoZ64SMpq3Q,TRUE
4hd9erEgqWxZn8yNR,5,"TmExgcd8ukon97BnH,fd7hP2ug2x6P2XRT8",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,5,0,5,6,🤔,tbTZ8oZNvSzj9kCeA,/experiment/tangram_I.png,listener,message,2,qXfAnzBoZ64SMpq3Q,TRUE
4hd9erEgqWxZn8yNR,5,"TmExgcd8ukon97BnH,fd7hP2ug2x6P2XRT8",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,5,0,5,6,	✅ ,tbTZ8oZNvSzj9kCeA,/experiment/tangram_I.png,listener,message,2,qXfAnzBoZ64SMpq3Q,TRUE
4hd9erEgqWxZn8yNR,5,"TmExgcd8ukon97BnH,fd7hP2ug2x6P2XRT8",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,5,0,5,6,	✅ ,KmWbAeCwcagamgCTG,/experiment/tangram_I.png,listener,message,2,qXfAnzBoZ64SMpq3Q,TRUE
Qq7CfpSi9jXx9bPyW,6,"Suq7LaGie3mSm2rcN,X9TwmCGxGpqnNQAun",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,6,0,6,6,Looks like a kneeling man with a bowl in his hand looking to your right,qXfAnzBoZ64SMpq3Q,/experiment/tangram_K.png,speaker,message,2,qXfAnzBoZ64SMpq3Q,TRUE
Qq7CfpSi9jXx9bPyW,6,"Suq7LaGie3mSm2rcN,X9TwmCGxGpqnNQAun",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,6,0,6,6,	✅ ,tbTZ8oZNvSzj9kCeA,/experiment/tangram_K.png,listener,message,2,qXfAnzBoZ64SMpq3Q,TRUE
Qq7CfpSi9jXx9bPyW,6,"Suq7LaGie3mSm2rcN,X9TwmCGxGpqnNQAun",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,6,0,6,6,❌,KmWbAeCwcagamgCTG,/experiment/tangram_K.png,listener,message,2,qXfAnzBoZ64SMpq3Q,TRUE
rpqWTiDJ2QrdWgYvC,7,"FNodnBEbj3shhqfFm,zEDXQCBqPXwe8SruA",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,7,0,7,6,Looks like a large man pointing to your right.,qXfAnzBoZ64SMpq3Q,/experiment/tangram_J.png,speaker,message,5,qXfAnzBoZ64SMpq3Q,TRUE
rpqWTiDJ2QrdWgYvC,7,"FNodnBEbj3shhqfFm,zEDXQCBqPXwe8SruA",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,7,0,7,6,🤔,KmWbAeCwcagamgCTG,/experiment/tangram_J.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
rpqWTiDJ2QrdWgYvC,7,"FNodnBEbj3shhqfFm,zEDXQCBqPXwe8SruA",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,7,0,7,6,	✅ ,KmWbAeCwcagamgCTG,/experiment/tangram_J.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
rpqWTiDJ2QrdWgYvC,7,"FNodnBEbj3shhqfFm,zEDXQCBqPXwe8SruA",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,7,0,7,6,	✅ ,tbTZ8oZNvSzj9kCeA,/experiment/tangram_J.png,listener,message,5,qXfAnzBoZ64SMpq3Q,TRUE
