_id,index,stageIds,gameId,createdAt,target,targetNum,repNum,trialNum,numPlayers,countCorrect,speaker,submitted,playerId,correct,response,time,tangram
ooRTEDFaTe9DMnXEQ,52,"Tc9SZ28AXbSY4pBWa,bBhvZCKeNESdQTfY9",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_C.png,4,4,52,6,5,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_C.png,55.74,C
uPFegyWspJgS6oHnR,53,"wazenneW9XrR5oriK,nS7k8Go74SxwQdkHq",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_B.png,5,4,53,6,5,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_B.png,21.23,B
jMW95cv9bhWqZFf2X,54,"tsDpeFfyYgqQrimtz,kWv4GvuJLANn6RyTb",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_A.png,6,4,54,6,5,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_A.png,37.928,A
KtfuveRMgSWtrTp5D,55,"tdJkKbCqq6qhWnNNR,XEbndtMHmAk8B8QWa",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_K.png,7,4,55,6,0,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,FALSE,/experiment/tangram_H.png,67.077,K
PD7erG4bJTwK27Ltm,56,"2BEpDbnKZtgF4KdWF,5MX4CdGue6ZW4aL3N",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_D.png,8,4,56,6,5,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_D.png,19.878,D
8vJ7ffff3yaKHprHK,57,"2cmt4RhDnn5XpDSCY,m5gWC6JKkuHogfLxj",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_F.png,9,4,57,6,3,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_F.png,29.545,F
qAWAMM9sjsX4iduCS,58,"dnzTSBTQeh8Roik5q,cAxpbJo6N7EgAdRQB",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_H.png,10,4,58,6,4,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,FALSE,/experiment/tangram_J.png,76.303,H
FoLEEjTWYjASx9vQM,59,"EqWiPNWYThEvFCGC6,KbWQLXHXxttedKuZ5",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_E.png,11,4,59,6,5,sSbufz2TAxmpms64o,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_E.png,29.448,E
dqNfYfxkxQePhHadP,60,"RF9rhaQE6AEkxHiys,MqFzJG9NznbEoLWy4",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_B.png,0,5,60,6,5,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_B.png,14.904,B
8FBta6FvjB22NyK83,61,"HZCrDMML3eEeNipkd,uEhFPePHhwfARn7de",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_E.png,1,5,61,6,5,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_E.png,18.153,E
vX6GXQpgy5DoSiPb2,62,"3kh3HP6EygAQmBA2o,idTpvae2nKem4ZpTY",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_G.png,2,5,62,6,5,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_G.png,29.225,G
pbaRYpvi2CNRs4XcD,63,"xCPp6yb4QgiQ8rXcc,bCcBFbsj2FeD8XApN",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_A.png,3,5,63,6,3,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,FALSE,/experiment/tangram_I.png,53.894,A
ciw8mojD5RLN93XNY,64,"NH4Xyy8MCNGL3Nprd,oKquHhLEFyHq6bTy9",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_K.png,4,5,64,6,1,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,FALSE,/experiment/tangram_L.png,66.799,K
fgETuiAPBJipvLMCr,65,"2YZj68sbqa5LvYGkW,urvhc4CM8Rpazsskp",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_F.png,5,5,65,6,4,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_F.png,38.776,F
eBHPXdSSHvhw4ySHa,66,"nFCQx9Rku3cs8Lay3,oJTrLvDehYNun48ga",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_C.png,6,5,66,6,5,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_C.png,25.863,C
FAi9PgvQSyfxYP7En,67,"92TtGBrT58kw2D53H,wggoDD9u2WscvbC5A",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_I.png,7,5,67,6,5,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_I.png,28.078,I
3yKGsRbu4oHvNSWaR,68,"96rPkJv82XfPCH4vW,753QoxP7LZEybp7EQ",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_L.png,8,5,68,6,5,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_L.png,25.429,L
GRXHbBMecJvsWHSZn,69,"GtcMegpeavDjfXRQv,BuHER6DTzedrBTABL",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_J.png,9,5,69,6,5,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_J.png,24.453,J
QLwPru4PfM2MZytsQ,70,"ms2auZXCup5QqWh2r,tgoEw7joPvE5WiqDe",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_D.png,10,5,70,6,5,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_D.png,27.409,D
MXQGFiqT2ddehXZ2E,71,"mH2YkqAcbzAjgmxW9,EXY53n72uixAJ5hdQ",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_H.png,11,5,71,6,5,tbTZ8oZNvSzj9kCeA,TRUE,KmWbAeCwcagamgCTG,TRUE,/experiment/tangram_H.png,64.426,H
wJpHbZiKqpic24ScL,0,"WngXCpyr9rD53KmGB,CaeMK3XYQfCqN3SB6",rTdgorcZpRzAdoR3G,2022-08-10T16:38:16Z,/experiment/tangram_D.png,0,0,0,6,2,qXfAnzBoZ64SMpq3Q,TRUE,QWwsugysdZETSqF5F,TRUE,/experiment/tangram_D.png,101.417,D
