_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.tangramURLs,data.roleList,data.name,data.avatar,data.nameColor,data.bonus,data.role,data.clicked,data.timeClick,data.exitTimeoutId,data.exited
fnpWjeJ5eoBme4DLX,,2021-05-07T19:07:32Z,,,ExitSurvey,2021-05-07T20:44:00Z,finished,,,,2021-05-07T19:00:14Z,"/experiment/tangram_F.png,/experiment/tangram_E.png,/experiment/tangram_I.png,/experiment/tangram_B.png,/experiment/tangram_L.png,/experiment/tangram_H.png,/experiment/tangram_K.png,/experiment/tangram_J.png,/experiment/tangram_C.png,/experiment/tangram_A.png,/experiment/tangram_G.png,/experiment/tangram_D.png","listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,listener,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker",Minu,/avatars/jdenticon/Alaina,#7ACC66,2.746666666666669,speaker,false,false,,
AnzTibewuLep32M6y,,2021-05-07T19:08:56Z,,,,2021-05-07T19:13:35Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:00:27Z,,,,,,,,,,,
jhHjrK6zfucyHDXsL,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:02:23Z,,,,,,,,,,,
EkxoJqiWJvDn9qivD,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:03:49Z,,,,,,,,,,,
4FEvTEkmuzm9YirNs,,2021-05-07T19:09:26Z,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:04:24Z,,,,,,,,,,,
j8nLghoAbAdyt8rXX,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:04:31Z,,,,,,,,,,,
qTqNMtT4FhGECCYXN,,2021-05-07T19:14:10Z,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:08:45Z,,,,,,,,,,,
jexeiCW968TMs2gz9,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:29Z,,,,,,,,,,,
MWFcNhdTkRvHYK4Mg,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:29Z,,,,,,,,,,,
SXiFtAfCt3o3hvo85,,,,,,2021-05-07T19:14:27Z,gameLobbyTimedOut,,2021-05-07T21:43:14Z,gameLobbyTimedOut,2021-05-07T19:11:29Z,,,,,,,,,,,
